user_id,user_segment_id,user_segment
388827,138,APR25 Register (Insider Campaign)
388320,138,APR25 Register (Insider Campaign)
384377,138,APR25 Register (Insider Campaign)
389157,138,APR25 Register (Insider Campaign)
387867,138,APR25 Register (Insider Campaign)
384464,138,APR25 Register (Insider Campaign)
392987,138,APR25 Register (Insider Campaign)
389285,138,APR25 Register (Insider Campaign)
387490,138,APR25 Register (Insider Campaign)
386058,138,APR25 Register (Insider Campaign)
387777,138,APR25 Register (Insider Campaign)
385155,138,APR25 Register (Insider Campaign)
390027,138,APR25 Register (Insider Campaign)
389705,138,APR25 Register (Insider Campaign)
392863,138,APR25 Register (Insider Campaign)
387713,138,APR25 Register (Insider Campaign)
390062,138,APR25 Register (Insider Campaign)
391438,138,APR25 Register (Insider Campaign)
387513,138,APR25 Register (Insider Campaign)
387225,138,APR25 Register (Insider Campaign)
389423,138,APR25 Register (Insider Campaign)
385767,138,APR25 Register (Insider Campaign)
386808,138,APR25 Register (Insider Campaign)
385062,138,APR25 Register (Insider Campaign)
386165,138,APR25 Register (Insider Campaign)
384319,138,APR25 Register (Insider Campaign)
388820,138,APR25 Register (Insider Campaign)
390823,138,APR25 Register (Insider Campaign)
388084,138,APR25 Register (Insider Campaign)
385216,138,APR25 Register (Insider Campaign)
390736,138,APR25 Register (Insider Campaign)
385312,138,APR25 Register (Insider Campaign)
387558,138,APR25 Register (Insider Campaign)
384945,138,APR25 Register (Insider Campaign)
392590,138,APR25 Register (Insider Campaign)
390451,138,APR25 Register (Insider Campaign)
387459,138,APR25 Register (Insider Campaign)
385032,138,APR25 Register (Insider Campaign)
391304,138,APR25 Register (Insider Campaign)
384178,138,APR25 Register (Insider Campaign)
387553,138,APR25 Register (Insider Campaign)
389381,138,APR25 Register (Insider Campaign)
390626,138,APR25 Register (Insider Campaign)
391109,138,APR25 Register (Insider Campaign)
389706,138,APR25 Register (Insider Campaign)
384937,138,APR25 Register (Insider Campaign)
387182,138,APR25 Register (Insider Campaign)
391023,138,APR25 Register (Insider Campaign)
391469,138,APR25 Register (Insider Campaign)
392667,138,APR25 Register (Insider Campaign)
384855,138,APR25 Register (Insider Campaign)
386659,138,APR25 Register (Insider Campaign)
388135,138,APR25 Register (Insider Campaign)
391532,138,APR25 Register (Insider Campaign)
388095,138,APR25 Register (Insider Campaign)
387602,138,APR25 Register (Insider Campaign)
389085,138,APR25 Register (Insider Campaign)
389297,138,APR25 Register (Insider Campaign)
385645,138,APR25 Register (Insider Campaign)
384222,138,APR25 Register (Insider Campaign)
384111,138,APR25 Register (Insider Campaign)
391895,138,APR25 Register (Insider Campaign)
385324,138,APR25 Register (Insider Campaign)
389258,138,APR25 Register (Insider Campaign)
391709,138,APR25 Register (Insider Campaign)
391935,138,APR25 Register (Insider Campaign)
386049,138,APR25 Register (Insider Campaign)
385229,138,APR25 Register (Insider Campaign)
387608,138,APR25 Register (Insider Campaign)
392314,138,APR25 Register (Insider Campaign)
384151,138,APR25 Register (Insider Campaign)
387734,138,APR25 Register (Insider Campaign)
388117,138,APR25 Register (Insider Campaign)
392280,138,APR25 Register (Insider Campaign)
390348,138,APR25 Register (Insider Campaign)
391718,138,APR25 Register (Insider Campaign)
392714,138,APR25 Register (Insider Campaign)
388631,138,APR25 Register (Insider Campaign)
387031,138,APR25 Register (Insider Campaign)
390778,138,APR25 Register (Insider Campaign)
391715,138,APR25 Register (Insider Campaign)
386577,138,APR25 Register (Insider Campaign)
389248,138,APR25 Register (Insider Campaign)
386284,138,APR25 Register (Insider Campaign)
390039,138,APR25 Register (Insider Campaign)
388420,138,APR25 Register (Insider Campaign)
388913,138,APR25 Register (Insider Campaign)
391145,138,APR25 Register (Insider Campaign)
390985,138,APR25 Register (Insider Campaign)
391651,138,APR25 Register (Insider Campaign)
392282,138,APR25 Register (Insider Campaign)
387601,138,APR25 Register (Insider Campaign)
390558,138,APR25 Register (Insider Campaign)
392548,138,APR25 Register (Insider Campaign)
391389,138,APR25 Register (Insider Campaign)
393078,138,APR25 Register (Insider Campaign)
387050,138,APR25 Register (Insider Campaign)
386083,138,APR25 Register (Insider Campaign)
390539,138,APR25 Register (Insider Campaign)
386295,138,APR25 Register (Insider Campaign)
386637,138,APR25 Register (Insider Campaign)
385800,138,APR25 Register (Insider Campaign)
386935,138,APR25 Register (Insider Campaign)
385207,138,APR25 Register (Insider Campaign)
384315,138,APR25 Register (Insider Campaign)
388209,138,APR25 Register (Insider Campaign)
385298,138,APR25 Register (Insider Campaign)
387896,138,APR25 Register (Insider Campaign)
389370,138,APR25 Register (Insider Campaign)
385916,138,APR25 Register (Insider Campaign)
386323,138,APR25 Register (Insider Campaign)
389114,138,APR25 Register (Insider Campaign)
385469,138,APR25 Register (Insider Campaign)
387535,138,APR25 Register (Insider Campaign)
387471,138,APR25 Register (Insider Campaign)
385799,138,APR25 Register (Insider Campaign)
384325,138,APR25 Register (Insider Campaign)
392720,138,APR25 Register (Insider Campaign)
391820,138,APR25 Register (Insider Campaign)
385898,138,APR25 Register (Insider Campaign)
390406,138,APR25 Register (Insider Campaign)
388523,138,APR25 Register (Insider Campaign)
385313,138,APR25 Register (Insider Campaign)
391769,138,APR25 Register (Insider Campaign)
391162,138,APR25 Register (Insider Campaign)
387630,138,APR25 Register (Insider Campaign)
384280,138,APR25 Register (Insider Campaign)
391461,138,APR25 Register (Insider Campaign)
390259,138,APR25 Register (Insider Campaign)
392196,138,APR25 Register (Insider Campaign)
392365,138,APR25 Register (Insider Campaign)
390345,138,APR25 Register (Insider Campaign)
385589,138,APR25 Register (Insider Campaign)
391203,138,APR25 Register (Insider Campaign)
389723,138,APR25 Register (Insider Campaign)
390160,138,APR25 Register (Insider Campaign)
387256,138,APR25 Register (Insider Campaign)
384518,138,APR25 Register (Insider Campaign)
388265,138,APR25 Register (Insider Campaign)
387424,138,APR25 Register (Insider Campaign)
386845,138,APR25 Register (Insider Campaign)
392558,138,APR25 Register (Insider Campaign)
387705,138,APR25 Register (Insider Campaign)
386339,138,APR25 Register (Insider Campaign)
392446,138,APR25 Register (Insider Campaign)
384766,138,APR25 Register (Insider Campaign)
389569,138,APR25 Register (Insider Campaign)
387878,138,APR25 Register (Insider Campaign)
384170,138,APR25 Register (Insider Campaign)
388697,138,APR25 Register (Insider Campaign)
384726,138,APR25 Register (Insider Campaign)
388010,138,APR25 Register (Insider Campaign)
392882,138,APR25 Register (Insider Campaign)
390699,138,APR25 Register (Insider Campaign)
388891,138,APR25 Register (Insider Campaign)
386450,138,APR25 Register (Insider Campaign)
390089,138,APR25 Register (Insider Campaign)
384107,138,APR25 Register (Insider Campaign)
388158,138,APR25 Register (Insider Campaign)
384698,138,APR25 Register (Insider Campaign)
389292,138,APR25 Register (Insider Campaign)
390515,138,APR25 Register (Insider Campaign)
393035,138,APR25 Register (Insider Campaign)
385148,138,APR25 Register (Insider Campaign)
